ds,y
2004-12-16,1208.00
2004-12-17,1203.20
2004-12-20,1203.60
2004-12-21,1205.90
2004-12-22,1211.40
2004-12-23,1213.70
2004-12-27,1214.20
2004-12-28,1213.50
2004-12-29,1214.00
2004-12-30,1216.50
2004-12-31,1217.30
2005-01-03,1217.90
2005-01-04,1205.80
2005-01-05,1192.80
2005-01-06,1191.60
2005-01-07,1192.20
2005-01-10,1194.80
2005-01-11,1190.20
2005-01-12,1188.00
2005-01-13,1187.70
2005-01-14,1185.20
2005-01-18,1196.00
2005-01-19,1196.00
2005-01-20,1184.60
2005-01-21,1179.50
2005-01-24,1173.20
2005-01-25,1174.30
2005-01-26,1176.00
2005-01-27,1177.50
2005-01-28,1175.60
2005-01-31,1182.10
2005-02-01,1190.40
2005-02-02,1195.20
2005-02-03,1193.20
2005-02-04,1203.50
2005-02-07,1204.20
2005-02-08,1205.10
2005-02-09,1203.80
2005-02-10,1198.80
2005-02-11,1208.40
2005-02-14,1206.90
2005-02-15,1212.40
2005-02-16,1212.40
2005-02-17,1211.30
2005-02-18,1202.90
2005-02-22,1202.50
2005-02-23,1193.50
2005-02-24,1200.40
2005-02-25,1212.20
2005-02-28,1211.40
2005-03-01,1212.20
2005-03-02,1215.80
2005-03-03,1215.70
2005-03-04,1224.80
2005-03-07,1229.10
2005-03-08,1225.70
2005-03-09,1219.40
2005-03-10,1211.20
2005-03-11,1213.00
2005-03-14,1206.80
2005-03-15,1210.50
2005-03-16,1197.80
2005-03-17,1193.30
2005-03-18,1192.00
2005-03-21,1189.70
2005-03-22,1189.60
2005-03-23,1176.30
2005-03-24,1180.10
2005-03-28,1179.90
2005-03-29,1179.40
2005-03-30,1181.50
2005-03-31,1184.50
2005-04-01,1189.80
2005-04-04,1178.60
2005-04-05,1183.60
2005-04-06,1189.30
2005-04-07,1191.90
2005-04-08,1191.80
2005-04-11,1184.10
2005-04-12,1190.20
2005-04-13,1187.80
2005-04-14,1174.70
2005-04-15,1162.00
2005-04-18,1148.90
2005-04-19,1154.70
2005-04-20,1155.50
2005-04-21,1160.00
2005-04-22,1160.00
2005-04-25,1164.00
2005-04-26,1164.80
2005-04-27,1159.90
2005-04-28,1156.40
2005-04-29,1157.00
2005-05-02,1162.90
2005-05-03,1166.90
2005-05-04,1176.00
2005-05-05,1178.60
2005-05-06,1177.80
2005-05-09,1178.90
2005-05-10,1178.80
2005-05-11,1171.80
2005-05-12,1173.40
2005-05-13,1163.80
2005-05-16,1165.80
2005-05-17,1174.30
2005-05-18,1187.90
2005-05-19,1191.10
2005-05-20,1191.20
2005-05-23,1197.40
2005-05-24,1195.30
2005-05-25,1194.10
2005-05-26,1199.00
2005-05-27,1199.60
2005-05-31,1198.80
2005-06-01,1205.60
2005-06-02,1204.70
2005-06-03,1205.10
2005-06-06,1198.80
2005-06-07,1208.80
2005-06-08,1202.00
2005-06-09,1201.90
2005-06-10,1202.80
2005-06-13,1206.00
2005-06-14,1207.50
2005-06-15,1208.10
2005-06-16,1212.10
2005-06-17,1219.50
2005-06-20,1219.10
2005-06-21,1217.10
2005-06-22,1219.60
2005-06-23,1216.50
2005-06-24,1200.90
2005-06-27,1194.30
2005-06-28,1202.50
2005-06-29,1204.10
2005-06-30,1203.30
2005-07-01,1197.90
2005-07-05,1206.30
2005-07-06,1206.10
2005-07-07,1198.50
2005-07-08,1212.70
2005-07-11,1220.00
2005-07-12,1225.50
2005-07-13,1224.50
2005-07-14,1233.20
2005-07-15,1229.50
2005-07-18,1227.90
2005-07-19,1230.30
2005-07-20,1236.60
2005-07-21,1235.80
2005-07-22,1234.20
2005-07-25,1238.40
2005-07-26,1234.40
2005-07-27,1237.60
2005-07-28,1245.20
2005-07-29,1245.00
2005-08-01,1239.10
2005-08-02,1244.70
2005-08-03,1245.90
2005-08-04,1245.00
2005-08-05,1235.90
2005-08-08,1232.30
2005-08-09,1234.10
2005-08-10,1242.70
2005-08-11,1237.80
2005-08-12,1237.80
2005-08-15,1236.20
2005-08-16,1233.90
2005-08-17,1225.60
2005-08-18,1222.60
2005-08-19,1225.10
2005-08-22,1229.00
2005-08-23,1223.00
2005-08-24,1224.20
2005-08-25,1213.70
2005-08-26,1212.40
2005-08-29,1214.30
2005-08-30,1212.30
2005-08-31,1220.40
2005-09-01,1227.30
2005-09-02,1224.50
2005-09-06,1233.60
2005-09-07,1237.10
2005-09-08,1236.40
2005-09-09,1243.10
2005-09-12,1242.60
2005-09-13,1240.60
2005-09-14,1234.70
2005-09-15,1231.90
2005-09-16,1238.00
2005-09-19,1237.90
2005-09-20,1236.50
2005-09-21,1221.50
2005-09-22,1216.60
2005-09-23,1218.80
2005-09-26,1222.60
2005-09-27,1220.20
2005-09-28,1221.00
2005-09-29,1228.70
2005-09-30,1229.60
2005-10-03,1233.30
2005-10-04,1229.90
2005-10-05,1214.50
2005-10-06,1202.10
2005-10-07,1199.70
2005-10-10,1196.50
2005-10-11,1193.10
2005-10-12,1190.00
2005-10-13,1179.60
2005-10-14,1187.10
2005-10-17,1191.20
2005-10-18,1190.10
2005-10-19,1195.80
2005-10-20,1197.30
2005-10-21,1186.50
2005-10-24,1199.40
2005-10-25,1201.30
2005-10-26,1204.00
2005-10-27,1192.70
2005-10-28,1198.40
2005-10-31,1211.40
2005-11-01,1207.30
2005-11-02,1215.20
2005-11-03,1224.70
2005-11-04,1222.50
2005-11-07,1224.20
2005-11-08,1222.80
2005-11-09,1226.60
2005-11-10,1232.40
2005-11-11,1235.70
2005-11-14,1237.20
2005-11-15,1237.90
2005-11-16,1232.20
2005-11-17,1243.00
2005-11-18,1249.60
2005-11-21,1255.90
2005-11-22,1261.90
2005-11-23,1270.60
2005-11-25,1268.80
2005-11-28,1268.40
2005-11-29,1266.20
2005-11-30,1260.90
2005-12-01,1266.20
2005-12-02,1266.80
2005-12-05,1265.10
2005-12-06,1272.90
2005-12-07,1264.80
2005-12-08,1263.40
2005-12-09,1263.10
2005-12-12,1263.90
2005-12-13,1272.10
2005-12-14,1275.80
2005-12-15,1275.20
2005-12-16,1275.20
2005-12-19,1270.50
2005-12-20,1263.90
2005-12-21,1269.40
2005-12-22,1268.20
2005-12-23,1269.80
2005-12-27,1271.80
2005-12-28,1261.10
2005-12-29,1260.60
2005-12-30,1254.40
2006-01-03,1270.22
2006-01-04,1275.37
2006-01-05,1276.91
2006-01-06,1286.09
2006-01-09,1290.78
2006-01-10,1290.15
2006-01-11,1294.90
2006-01-12,1294.18
2006-01-13,1288.96
2006-01-17,1287.61
2006-01-18,1282.93
2006-01-19,1287.79
2006-01-20,1285.04
2006-01-23,1268.19
2006-01-24,1271.47
2006-01-25,1271.87
2006-01-26,1276.44
2006-01-27,1286.38
2006-01-30,1287.94
2006-01-31,1285.20
2006-02-01,1283.33
2006-02-02,1282.46
2006-02-03,1270.87
2006-02-06,1267.04
2006-02-07,1265.78
2006-02-08,1266.47
2006-02-09,1274.56
2006-02-10,1269.89
2006-02-13,1266.99
2006-02-14,1278.21
2006-02-15,1281.00
2006-02-16,1289.39
2006-02-17,1289.47
2006-02-21,1291.92
2006-02-22,1294.17
2006-02-23,1293.84
2006-02-24,1292.11
2006-02-27,1297.57
2006-02-28,1294.12
2006-03-01,1291.80
2006-03-02,1291.24
2006-03-03,1297.33
2006-03-06,1288.23
2006-03-07,1278.26
2006-03-08,1280.33
2006-03-09,1282.74
2006-03-10,1284.37
2006-03-13,1287.37
2006-03-14,1298.14
2006-03-15,1304.40
2006-03-16,1310.45
2006-03-17,1309.79
2006-03-20,1310.00
2006-03-21,1310.88
2006-03-22,1305.97
2006-03-23,1305.04
2006-03-24,1306.53
2006-03-27,1303.74
2006-03-28,1306.24
2006-03-29,1305.60
2006-03-30,1310.15
2006-03-31,1303.00
2006-04-03,1309.19
2006-04-04,1307.55
2006-04-05,1312.81
2006-04-06,1311.99
2006-04-07,1314.07
2006-04-10,1300.74
2006-04-11,1300.71
2006-04-12,1290.93
2006-04-13,1292.09
2006-04-17,1292.45
2006-04-18,1309.02
2006-04-19,1310.39
2006-04-20,1318.16
2006-04-21,1317.67
2006-04-24,1311.28
2006-04-25,1310.79
2006-04-26,1310.97
2006-04-27,1315.00
2006-04-28,1316.04
2006-05-01,1317.21
2006-05-02,1313.66
2006-05-03,1313.47
2006-05-04,1315.14
2006-05-05,1326.53
2006-05-08,1326.70
2006-05-09,1326.60
2006-05-10,1325.51
2006-05-11,1322.63
2006-05-12,1305.88
2006-05-15,1294.81
2006-05-16,1297.88
2006-05-17,1291.73
2006-05-18,1274.89
2006-05-19,1272.15
2006-05-22,1268.77
2006-05-23,1273.67
2006-05-24,1264.53
2006-05-25,1273.26
2006-05-26,1280.54
2006-05-30,1280.04
2006-05-31,1270.09
2006-06-01,1285.71
2006-06-02,1290.68
2006-06-05,1288.16
2006-06-06,1269.88
2006-06-07,1272.47
2006-06-08,1259.85
2006-06-09,1262.58
2006-06-12,1255.22
2006-06-13,1243.37
2006-06-14,1231.46
2006-06-15,1258.64
2006-06-16,1256.27
2006-06-19,1255.93
2006-06-20,1249.01
2006-06-21,1257.96
2006-06-22,1251.92
2006-06-23,1253.13
2006-06-26,1250.92
2006-06-27,1253.37
2006-06-28,1247.06
2006-06-29,1272.88
2006-06-30,1276.30
2006-07-03,1280.38
2006-07-05,1280.05
2006-07-06,1278.32
2006-07-07,1275.38
2006-07-10,1274.06
2006-07-11,1273.64
2006-07-12,1273.31
2006-07-13,1258.58
2006-07-14,1242.70
2006-07-17,1240.07
2006-07-18,1239.86
2006-07-19,1261.81
2006-07-20,1262.56
2006-07-21,1250.96
2006-07-24,1262.50
2006-07-25,1272.39
2006-07-26,1273.89
2006-07-27,1275.85
2006-07-28,1280.42
2006-07-31,1278.66
2006-08-01,1278.66
2006-08-02,1283.42
2006-08-03,1283.96
2006-08-04,1292.92
2006-08-07,1279.31
2006-08-08,1282.75
2006-08-09,1283.74
2006-08-10,1272.55
2006-08-11,1271.64
2006-08-14,1278.90
2006-08-15,1286.23
2006-08-16,1296.21
2006-08-17,1300.78
2006-08-18,1302.30
2006-08-21,1302.30
2006-08-22,1302.49
2006-08-23,1301.50
2006-08-24,1297.23
2006-08-25,1298.88
2006-08-28,1305.02
2006-08-29,1305.02
2006-08-30,1306.74
2006-08-31,1306.11
2006-09-01,1312.03
2006-09-05,1314.67
2006-09-06,1313.04
2006-09-07,1301.25
2006-09-08,1300.14
2006-09-11,1302.36
2006-09-12,1314.28
2006-09-13,1319.92
2006-09-14,1318.00
2006-09-15,1324.65
2006-09-18,1324.87
2006-09-19,1322.04
2006-09-20,1328.53
2006-09-21,1328.19
2006-09-22,1318.03
2006-09-25,1329.35
2006-09-26,1336.60
2006-09-27,1340.08
2006-09-28,1340.28
2006-09-29,1339.88
2006-10-02,1338.54
2006-10-03,1338.31
2006-10-04,1350.20
2006-10-05,1353.79
2006-10-06,1353.22
2006-10-09,1352.69
2006-10-10,1354.23
2006-10-11,1353.97
2006-10-12,1363.76
2006-10-13,1366.63
2006-10-16,1370.20
2006-10-17,1369.05
2006-10-18,1372.87
2006-10-19,1368.09
2006-10-20,1368.66
2006-10-23,1377.40
2006-10-24,1377.78
2006-10-25,1383.61
2006-10-26,1389.45
2006-10-27,1388.89
2006-10-30,1381.22
2006-10-31,1381.21
2006-11-01,1381.95
2006-11-02,1368.39
2006-11-03,1371.68
2006-11-06,1381.40
2006-11-07,1388.19
2006-11-08,1388.61
2006-11-09,1388.92
2006-11-10,1381.04
2006-11-13,1387.61
2006-11-14,1394.49
2006-11-15,1401.35
2006-11-16,1403.76
2006-11-17,1401.21
2006-11-20,1404.37
2006-11-21,1403.49
2006-11-22,1407.89
2006-11-24,1405.94
2006-11-27,1400.95
2006-11-28,1387.91
2006-11-29,1401.14
2006-11-30,1406.30
2006-12-01,1402.46
2006-12-04,1411.23
2006-12-05,1415.27
2006-12-06,1415.93
2006-12-07,1418.27
2006-12-08,1414.09
2006-12-11,1415.60
2006-12-12,1413.78
2006-12-13,1416.64
2006-12-14,1427.23
2006-12-15,1431.63
2006-12-18,1431.81
2006-12-19,1428.30
2006-12-20,1429.05
2006-12-21,1426.40
2006-12-22,1418.82
2006-12-26,1417.91
2006-12-27,1427.72
2006-12-28,1427.26
2006-12-29,1427.00
2007-01-03,1429.42
2007-01-04,1421.84
2007-01-05,1418.34
2007-01-08,1414.98
2007-01-09,1415.61
2007-01-10,1415.99
2007-01-11,1427.12
2007-01-12,1431.23
2007-01-16,1433.93
2007-01-17,1435.27
2007-01-18,1432.96
2007-01-19,1431.57
2007-01-22,1431.39
2007-01-23,1431.33
2007-01-24,1440.14
2007-01-25,1440.69
2007-01-26,1427.27
2007-01-29,1426.94
2007-01-30,1428.82
2007-01-31,1441.61
2007-02-01,1446.64
2007-02-02,1449.33
2007-02-05,1449.38
2007-02-06,1450.19
2007-02-07,1452.99
2007-02-08,1450.45
2007-02-09,1452.45
2007-02-12,1439.11
2007-02-13,1444.41
2007-02-14,1457.65
2007-02-15,1457.97
2007-02-16,1456.77
2007-02-20,1460.53
2007-02-21,1459.60
2007-02-22,1461.57
2007-02-23,1456.22
2007-02-26,1456.95
2007-02-27,1449.25
2007-02-28,1415.89
2007-03-01,1409.46
2007-03-02,1403.40
2007-03-05,1391.86
2007-03-06,1397.90
2007-03-07,1401.16
2007-03-08,1407.93
2007-03-09,1410.15
2007-03-12,1409.34
2007-03-13,1406.23
2007-03-14,1388.09
2007-03-15,1395.73
2007-03-16,1397.51
2007-03-19,1403.20
2007-03-20,1411.53
2007-03-21,1437.77
2007-03-22,1437.66
2007-03-23,1438.89
2007-03-26,1437.65
2007-03-27,1437.49
2007-03-28,1428.35
2007-03-29,1426.24
2007-03-30,1429.22
2007-04-02,1425.49
2007-04-03,1440.57
2007-04-04,1440.16
2007-04-05,1444.88
2007-04-09,1448.10
2007-04-10,1448.73
2007-04-11,1448.39
2007-04-12,1448.02
2007-04-13,1453.11
2007-04-16,1468.62
2007-04-17,1474.35
2007-04-18,1476.57
2007-04-19,1474.23
2007-04-20,1484.74
2007-04-23,1487.32
2007-04-24,1483.82
2007-04-25,1496.59
2007-04-26,1498.02
2007-04-27,1497.32
2007-04-30,1497.16
2007-05-01,1487.27
2007-05-02,1499.10
2007-05-03,1503.34
2007-05-04,1510.34
2007-05-07,1511.00
2007-05-08,1509.36
2007-05-09,1513.80
2007-05-10,1512.33
2007-05-11,1506.24
2007-05-14,1510.90
2007-05-15,1514.83
2007-05-16,1514.15
2007-05-17,1517.14
2007-05-18,1522.75
2007-05-21,1529.87
2007-05-22,1529.24
2007-05-23,1532.43
2007-05-24,1529.31
2007-05-25,1517.41
2007-05-29,1521.80
2007-05-30,1530.23
2007-05-31,1535.56
2007-06-01,1540.56
2007-06-04,1540.53
2007-06-05,1539.12
2007-06-06,1530.57
2007-06-07,1517.36
2007-06-08,1507.76
2007-06-11,1515.53
2007-06-12,1511.33
2007-06-13,1515.70
2007-06-14,1526.45
2007-06-15,1538.71
2007-06-18,1535.44
2007-06-19,1535.85
2007-06-20,1537.32
2007-06-21,1522.90
2007-06-22,1522.19
2007-06-25,1514.29
2007-06-26,1506.12
2007-06-27,1506.80
2007-06-28,1514.84
2007-06-29,1517.53
2007-07-02,1519.45
2007-07-03,1526.01
2007-07-05,1526.57
2007-07-06,1532.40
2007-07-09,1534.26
2007-07-10,1531.85
2007-07-11,1519.34
2007-07-12,1547.92
2007-07-13,1555.10
2007-07-16,1555.90
2007-07-17,1555.32
2007-07-18,1549.20
2007-07-19,1555.20
2007-07-20,1553.19
2007-07-23,1547.23
2007-07-24,1541.57
2007-07-25,1524.31
2007-07-26,1518.09
2007-07-27,1488.53
2007-07-30,1477.88
2007-07-31,1488.30
2007-08-01,1468.38
2007-08-02,1476.43
2007-08-03,1473.23
2007-08-06,1467.67
2007-08-07,1488.30
2007-08-08,1503.89
2007-08-09,1497.21
2007-08-10,1462.02
2007-08-13,1466.29
2007-08-14,1456.74
2007-08-15,1440.78
2007-08-16,1415.97
2007-08-17,1450.33
2007-08-20,1451.75
2007-08-21,1455.32
2007-08-22,1464.86
2007-08-23,1472.06
2007-08-24,1479.40
2007-08-27,1479.36
2007-08-28,1466.72
2007-08-29,1463.76
2007-08-30,1468.43
2007-08-31,1481.47
2007-09-04,1496.40
2007-09-05,1488.76
2007-09-06,1481.49
2007-09-07,1478.55
2007-09-10,1462.25
2007-09-11,1472.48
2007-09-12,1479.50
2007-09-13,1489.58
2007-09-14,1485.99
2007-09-17,1484.24
2007-09-18,1519.89
2007-09-19,1538.74
2007-09-20,1529.14
2007-09-21,1530.89
2007-09-24,1530.18
2007-09-25,1518.27
2007-09-26,1529.39
2007-09-27,1532.46
2007-09-28,1533.70
2007-10-01,1549.02
2007-10-02,1548.01
2007-10-03,1545.84
2007-10-04,1544.02
2007-10-05,1561.91
2007-10-08,1556.51
2007-10-09,1565.26
2007-10-10,1565.42
2007-10-11,1576.09
2007-10-12,1563.03
2007-10-15,1564.74
2007-10-16,1547.81
2007-10-17,1550.66
2007-10-18,1542.79
2007-10-19,1540.00
2007-10-22,1508.06
2007-10-23,1520.01
2007-10-24,1517.23
2007-10-25,1523.24
2007-10-26,1535.53
2007-10-29,1544.67
2007-10-30,1539.42
2007-10-31,1552.76
2007-11-01,1545.79
2007-11-02,1513.15
2007-11-05,1510.84
2007-11-06,1520.77
2007-11-07,1515.46
2007-11-08,1482.50
2007-11-09,1474.09
2007-11-12,1464.94
2007-11-13,1481.37
2007-11-14,1492.14
2007-11-15,1472.67
2007-11-16,1462.18
2007-11-19,1456.70
2007-11-20,1452.64
2007-11-21,1436.40
2007-11-23,1440.86
2007-11-26,1446.09
2007-11-27,1429.49
2007-11-28,1471.62
2007-11-29,1473.81
2007-11-30,1488.94
2007-12-03,1481.16
2007-12-04,1471.34
2007-12-05,1486.09
2007-12-06,1508.02
2007-12-07,1510.63
2007-12-10,1518.27
2007-12-11,1523.57
2007-12-12,1511.96
2007-12-13,1489.40
2007-12-14,1486.67
2007-12-17,1465.05
2007-12-18,1460.16
2007-12-19,1464.42
2007-12-20,1461.53
2007-12-21,1485.40
2007-12-24,1497.63
2007-12-26,1498.85
2007-12-27,1495.05
2007-12-28,1488.01
2007-12-31,1475.83
2008-01-02,1471.77
2008-01-03,1456.80
2008-01-04,1444.01
2008-01-07,1423.87
2008-01-08,1430.28
2008-01-09,1409.19
2008-01-10,1429.09
2008-01-11,1419.91
2008-01-14,1417.89
2008-01-15,1411.88
2008-01-16,1391.99
2008-01-17,1377.72
2008-01-18,1350.28
2008-01-22,1322.09
2008-01-23,1339.09
2008-01-24,1355.15
2008-01-25,1368.56
2008-01-28,1353.97
2008-01-29,1364.93
2008-01-30,1385.86
2008-01-31,1385.62
2008-02-01,1396.02
2008-02-04,1395.38
2008-02-05,1380.28
2008-02-06,1351.96
2008-02-07,1347.16
2008-02-08,1341.22
2008-02-11,1341.40
2008-02-12,1362.10
2008-02-13,1369.23
2008-02-14,1368.16
2008-02-15,1350.00
2008-02-19,1367.28
2008-02-20,1363.71
2008-02-21,1367.94
2008-02-22,1354.30
2008-02-25,1374.36
2008-02-26,1387.34
2008-02-27,1388.34
2008-02-28,1378.16
2008-02-29,1364.07
2008-03-03,1335.13
2008-03-04,1331.03
2008-03-05,1344.19
2008-03-06,1332.20
2008-03-07,1313.24
2008-03-10,1295.01
2008-03-11,1320.65
2008-03-12,1333.26
2008-03-13,1321.68
2008-03-14,1321.47
2008-03-17,1287.50
2008-03-18,1330.74
2008-03-19,1341.51
2008-03-20,1330.67
2008-03-24,1359.68
2008-03-25,1357.47
2008-03-26,1352.45
2008-03-27,1345.62
2008-03-28,1334.87
2008-03-31,1328.52
2008-04-01,1370.18
2008-04-02,1377.95
2008-04-03,1375.66
2008-04-04,1380.91
2008-04-07,1386.74
2008-04-08,1370.16
2008-04-09,1368.39
2008-04-10,1367.24
2008-04-11,1357.98
